Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,015590,2010,04,08,31.4,1,Y
IDCJAC0010,015590,2010,04,09,30.8,1,Y
IDCJAC0010,015590,2010,04,10,25.1,1,Y
IDCJAC0010,015590,2010,04,11,22.3,1,Y
IDCJAC0010,015590,2010,04,12,23.8,1,Y
IDCJAC0010,015590,2010,04,13,22.5,1,Y
IDCJAC0010,015590,2010,04,14,24.1,1,Y
IDCJAC0010,015590,2010,04,15,24.8,1,Y
IDCJAC0010,015590,2010,04,16,27.2,1,Y
IDCJAC0010,015590,2010,04,17,28.1,1,Y
IDCJAC0010,015590,2010,04,18,28.7,1,Y
IDCJAC0010,015590,2010,04,19,28.8,1,Y
IDCJAC0010,015590,2010,04,20,29.1,1,Y
IDCJAC0010,015590,2010,04,21,29.8,1,Y
IDCJAC0010,015590,2010,04,22,28.5,1,Y
IDCJAC0010,015590,2010,04,23,29.1,1,Y
IDCJAC0010,015590,2010,04,24,30.9,1,Y
IDCJAC0010,015590,2010,04,25,25.3,1,Y
IDCJAC0010,015590,2010,04,26,27.3,1,Y
IDCJAC0010,015590,2010,04,27,26.3,1,Y
IDCJAC0010,015590,2010,04,28,23.3,1,Y
IDCJAC0010,015590,2010,04,29,23.5,1,Y
IDCJAC0010,015590,2010,04,30,24.4,1,Y
IDCJAC0010,015590,2010,05,01,25.4,1,Y
IDCJAC0010,015590,2010,05,02,26.1,1,Y
IDCJAC0010,015590,2010,05,03,29.3,1,Y
IDCJAC0010,015590,2010,05,04,29.3,1,Y
IDCJAC0010,015590,2010,05,05,22.4,1,Y
IDCJAC0010,015590,2010,05,06,20.8,1,Y
IDCJAC0010,015590,2010,05,07,20.1,1,Y
IDCJAC0010,015590,2010,05,08,21.5,1,Y
IDCJAC0010,015590,2010,05,09,22.9,1,Y
IDCJAC0010,015590,2010,05,10,26.1,1,Y
IDCJAC0010,015590,2010,05,11,24.9,1,Y
IDCJAC0010,015590,2010,05,12,21.2,1,Y
IDCJAC0010,015590,2010,05,13,22.0,1,Y
IDCJAC0010,015590,2010,05,14,26.9,1,Y
