Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,1976,08,22.8,Y
IDCJAC0002,015590,1976,09,27.4,Y
IDCJAC0002,015590,1976,10,28.0,Y
IDCJAC0002,015590,1976,11,32.2,Y
IDCJAC0002,015590,1976,12,37.3,Y
IDCJAC0002,015590,1977,01,36.5,Y
IDCJAC0002,015590,1977,02,34.3,Y
IDCJAC0002,015590,1977,03,30.8,Y
IDCJAC0002,015590,1977,04,27.1,Y
IDCJAC0002,015590,1977,05,23.3,Y
IDCJAC0002,015590,1977,06,19.8,Y
IDCJAC0002,015590,1977,07,19.3,Y
IDCJAC0002,015590,1977,08,26.5,Y
IDCJAC0002,015590,1977,09,25.2,Y
IDCJAC0002,015590,1977,10,31.9,Y
IDCJAC0002,015590,1977,11,33.0,Y
IDCJAC0002,015590,1977,12,35.0,Y
IDCJAC0002,015590,1978,01,36.0,Y
IDCJAC0002,015590,1978,02,37.0,Y
IDCJAC0002,015590,1978,03,34.1,Y
IDCJAC0002,015590,1978,04,28.5,Y
IDCJAC0002,015590,1978,05,23.0,Y
IDCJAC0002,015590,1978,06,19.6,Y
IDCJAC0002,015590,1978,07,18.3,Y
IDCJAC0002,015590,1978,08,19.4,Y
IDCJAC0002,015590,1978,09,24.6,Y
IDCJAC0002,015590,1978,10,29.2,Y
IDCJAC0002,015590,1978,11,31.5,Y
IDCJAC0002,015590,1978,12,35.8,Y
IDCJAC0002,015590,1979,01,37.0,Y
IDCJAC0002,015590,1979,02,34.1,Y
IDCJAC0002,015590,1979,03,33.8,Y
IDCJAC0002,015590,1979,04,28.4,Y
IDCJAC0002,015590,1979,05,19.7,Y
IDCJAC0002,015590,1979,06,21.5,Y
IDCJAC0002,015590,1979,07,20.8,Y
IDCJAC0002,015590,1979,08,24.1,Y
IDCJAC0002,015590,1979,09,28.0,Y
IDCJAC0002,015590,1979,10,31.3,Y
IDCJAC0002,015590,1979,11,36.6,Y
IDCJAC0002,015590,1979,12,37.3,Y
IDCJAC0002,015590,1980,01,37.7,Y
IDCJAC0002,015590,1980,02,37.5,Y
IDCJAC0002,015590,1980,03,35.7,Y
IDCJAC0002,015590,1980,04,30.2,Y
IDCJAC0002,015590,1980,05,24.1,Y
IDCJAC0002,015590,1980,06,20.7,Y
IDCJAC0002,015590,1980,07,19.5,Y
IDCJAC0002,015590,1980,08,24.0,Y
IDCJAC0002,015590,1980,09,30.7,Y
IDCJAC0002,015590,1980,10,30.8,Y
IDCJAC0002,015590,1980,11,36.5,Y
IDCJAC0002,015590,1980,12,37.0,Y
IDCJAC0002,015590,1981,01,35.2,Y
IDCJAC0002,015590,1981,02,35.1,Y
IDCJAC0002,015590,1981,03,31.6,Y
IDCJAC0002,015590,1981,04,31.0,Y
IDCJAC0002,015590,1981,05,23.8,Y
IDCJAC0002,015590,1981,06,20.4,Y
IDCJAC0002,015590,1981,07,19.6,Y
IDCJAC0002,015590,1981,08,24.8,Y
IDCJAC0002,015590,1981,09,28.0,Y
IDCJAC0002,015590,1981,10,30.3,Y
IDCJAC0002,015590,1981,11,31.6,Y
IDCJAC0002,015590,1981,12,35.8,Y
IDCJAC0002,015590,1982,01,37.4,Y
IDCJAC0002,015590,1982,02,32.5,Y
IDCJAC0002,015590,1982,03,28.2,Y
IDCJAC0002,015590,1982,04,27.1,Y
IDCJAC0002,015590,1982,05,24.2,Y
IDCJAC0002,015590,1982,06,18.9,Y
IDCJAC0002,015590,1982,07,19.3,Y
IDCJAC0002,015590,1982,08,24.6,Y
IDCJAC0002,015590,1982,09,24.6,Y
IDCJAC0002,015590,1982,10,29.8,Y
IDCJAC0002,015590,1982,11,35.1,Y
IDCJAC0002,015590,1982,12,36.8,Y
IDCJAC0002,015590,1983,01,36.0,Y
IDCJAC0002,015590,1983,02,39.1,Y
IDCJAC0002,015590,1983,03,31.1,Y
IDCJAC0002,015590,1983,04,23.1,Y
IDCJAC0002,015590,1983,05,22.0,Y
IDCJAC0002,015590,1983,06,19.7,Y
IDCJAC0002,015590,1983,07,17.5,Y
IDCJAC0002,015590,1983,08,22.9,Y
IDCJAC0002,015590,1983,09,29.2,Y
IDCJAC0002,015590,1983,10,30.9,Y
IDCJAC0002,015590,1983,11,34.9,Y
IDCJAC0002,015590,1983,12,36.3,Y
IDCJAC0002,015590,1984,01,32.1,Y
IDCJAC0002,015590,1984,02,35.9,Y
IDCJAC0002,015590,1984,03,32.1,Y
IDCJAC0002,015590,1984,04,28.0,Y
IDCJAC0002,015590,1984,05,24.9,Y
IDCJAC0002,015590,1984,06,19.9,Y
IDCJAC0002,015590,1984,07,17.9,Y
IDCJAC0002,015590,1984,08,23.7,Y
IDCJAC0002,015590,1984,09,24.2,Y
IDCJAC0002,015590,1984,10,30.3,Y
IDCJAC0002,015590,1984,11,35.1,Y
IDCJAC0002,015590,1984,12,36.3,Y
IDCJAC0002,015590,1985,01,38.6,Y
IDCJAC0002,015590,1985,02,37.5,Y
IDCJAC0002,015590,1985,03,34.2,Y
IDCJAC0002,015590,1985,04,27.4,Y
IDCJAC0002,015590,1985,05,23.2,Y
IDCJAC0002,015590,1985,06,17.8,Y
IDCJAC0002,015590,1985,07,21.1,Y
IDCJAC0002,015590,1985,08,24.9,Y
